Date,Time,Mood,Description,Activities,Hours Slept,Exercise
2020-12-23,19:13,okay,"calm, hungry, tired","shopping, meditate, work, pets",,
2020-12-24,8:38,great,"excited, blessed, motivated, loved","sleep, reading",,
2020-12-24,23:14,good,"craving, sentimental, romantic","party, movie",,
2020-12-27,18:38,good,"tired, hungry, satisfied",travel,,y
2020-12-29,7:05,unhappy,"depressed, insecure, frustrated, angry",sleep,,
2020-12-29,19:09,happy,"tired, satisfied, happy, calm",hiking,,y
2020-12-30,10:54,okay,"aestetic, lost",daydreaming,,
2021-01-02,9:07,okay,"okay, tired",sleep,,
2021-01-03,7:32,okay,"excited, calm",sleep,,
2021-01-03,21:33,happy,"grateful, tired, satisfied",climbing,,y
2021-01-24,16:50,great,"calm, statisfied, tired","climbing, PT",,y
